mega_time_ms,esp_time_ms,servo1_us,servo2_us,esp_ax,esp_ay,esp_az,esp_gx,esp_gy,esp_gz,gy87_ax,gy87_ay,gy87_az,gy87_gx,gy87_gy,gy87_gz,Touch
1504,1541,1508,1509,-13144,-3844,7812,-492,-282,-36,4764,912,-17456,-232,24,-183,0
1523,1561,1515,1517,-12620,-4880,7800,-403,-127,11,4772,892,-17392,-374,196,-157,0
1544,1581,1523,1526,-8884,-4876,6152,-137,359,292,4660,1016,-16728,-594,57,391,0
1563,1601,1530,1534,-14032,-3460,8224,-122,390,127,5204,1536,-15336,81,-2111,39,0
1584,1621,1538,1542,-3624,-2668,10096,-937,2010,1835,4220,552,-17092,-389,-1098,2805,0
1603,1641,1545,1550,4356,-336,10244,-799,6938,1209,4548,1148,-17756,269,1513,3909,0
1624,1661,1553,1559,-13952,-4832,12352,-2447,5763,1169,4352,1276,-17880,983,2305,1771,0
1644,1681,1560,1567,-18304,-572,10204,-1517,12083,2497,5724,-400,-15024,464,-438,4404,0
1664,1701,1567,1574,-32768,-9768,-1232,-524,6066,-2105,4296,3196,-15828,-926,556,-1949,0
1684,1721,1575,1582,-32768,-7736,6280,-382,-3715,2420,4996,256,-18632,2954,-763,-1540,0
1703,1741,1582,1589,-2884,-4056,9620,774,-4831,450,5260,-2036,-16756,-1456,-268,927,0
1723,1761,1589,1596,7832,1836,10056,875,1712,541,4648,2060,-17828,-1275,2379,4035,0
1743,1781,1596,1603,15820,972,11168,-954,7872,2935,4684,404,-18644,1379,2104,4323,0
1764,1801,1603,1610,-7020,2036,7272,-1703,14697,932,3512,1372,-15228,-1573,861,-2596,0
1783,1821,1610,1616,-8464,11100,-7564,-5102,17543,4882,-100,1840,-3008,-4193,-4018,1549,0
1804,1841,1617,1622,-32768,3008,-6568,-8825,9349,-4950,4908,3272,-17788,-593,1373,-6965,0
1823,1861,1624,1628,-32768,7732,-2272,-13122,-3547,-51,4544,560,-16856,3715,-1669,6941,0
1844,1881,1631,1634,-14712,-12728,-712,-13233,-8649,-682,5004,-184,-16488,1094,640,2004,0
1864,1901,1638,1639,18028,-11244,3680,-12201,-3216,-410,3868,-760,-19908,405,135,5841,0
1884,1921,1645,1644,3656,-16664,5032,-7489,4196,301,64,2632,-16652,-1286,-745,8663,0
1903,1941,1651,1648,-6012,-31200,-896,-2043,7072,1746,-128,4828,-12884,-2631,-3656,-10567,0
1924,1961,1658,1652,-10180,-18312,2424,2438,8382,5410,2412,2232,-14384,-255,-2749,-436,0
1943,1981,1664,1656,-22032,12260,4604,1812,8313,875,4080,-1184,-20380,-2569,-1316,-2846,0
1964,2001,1670,1659,-32768,9584,-4360,2,3086,-2023,5368,5388,-16676,-673,-31,4590,0
1984,2021,1676,1662,-32768,4960,-456,-6644,-2444,2943,5596,-1604,-16968,3014,110,-4253,0
2003,2041,1682,1664,-6556,248,4332,-9080,-4917,-4054,4848,2384,-15992,-1017,2259,4359,0
2023,2061,1688,1666,1756,-13980,3004,-7028,628,1526,3312,1436,-17764,-1378,-671,3788,0
2043,2081,1694,1668,-10248,-22984,4508,-2726,2885,52,-1036,4588,-11308,-3586,-3775,837,0
